movie,director,music,cast,plot_excerpt
Paattum Bharathamum,[[P. Madhavan]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[J. Jayalalithaa|Jayalalithaa]]<br />[[Sripriya]]<br />[[Vijayakumar (Tamil actor)|Vijayakumar]],"Shanmugasundaram and Meenakshi are an artistic couple who get broken up due to differences. Their daughter Lalitha, who sides with Shanmugam, is now an accomplished dancer. Arun meets her accidentally and mocks her skills to which she responds that anyone can become rich in a day by being lucky but it takes real talent to become an artist. Taking this as a challenge, he joins Meenakshi and learns to dance facing Lalitha in a competition defeating her. They fall in love too.

While Thiyagarajan acts like he is ok with his son's choice, he uses his nephew Kumar to drive a wedge between them by making it look like Lalitha is of poor character causing Arun to insult Shanmugasundaram. When Arun finds out the truth, it is too late and he leaves his father and the riches dedicating the rest of his life to art. How the same art becomes instrumental in reuniting them through Shanthi is the rest of the story."
Santhi (1965 film),[[A. Bhimsingh]],[[Viswanathan–Ramamoorthy]],[[Sivaji Ganesan]]<br />[[S. S. Rajendran]]<br />[[C. R. Vijayakumari]]<br />[[Devika]],{{No plot|date=August 2021}}
Baagyavathi,[[L. V. Prasad]],[[Susarla Dakshinamurthi|S. Dakshinamurthi]],[[Sivaji Ganesan]]<br />[[Padmini (actress)|Padmini]],"{{More plot|date=June 2022}}
Somu, who is a criminal, marries Meena. Unable to expose Somu because of her love and devotion to him, she tries to transform him. In a separate storyline, Ravi, a six-year-old boy, learns that his father Suppanna is a criminal, and leaves his home. Suppanna also has a daughter, Bhama, who fails in her attempts to reform her father's ways. As a result, she kills herself."
Bommai Kalyanam,R. M. Krishnaswamy,[[K. V. Mahadevan]],[[Sivaji Ganesan]]<br />[[Jamuna (actress)|Jamuna]]<br />[[Mynavathi]],"Suryam (Kannan in Tamil) is a playful teenage boy, in the cusp between puberty and adolescent, the son of the famous and well-to-do lawyer Perayya (Varatharajan in Tamil) and Parvathamma (Thangam in Tamil). While playing football, he meets Radha, the daughter of a well respected freedom fighter family of Simhadri (Veeramuthu in Tamil) and Seshamma (Maragatham in Tamil). At first sight both fall in love.

Perayya is a modest man, but Parvathamma is a greedy woman. Parvathamma wishes to marry off Suryam to her brother Chalamayya's (Sonachalam in Tamil) and Bhadramma's (Perundevi in Tamil) daughter Bullemma (Kannamma in Tamil) and invites them to her place. Bullemma is a naïve girl and Thimaiyya (Mannar in Tamil), Bhadramma 's brother loves her. Perayya likes the simplicity of Simhadri's family and agrees on the alliance of Suryam and Radha. When Parvathamma opposes this, Perayya , in order to carry on with the wedding, lies to her that Simhadri will present a large dowry. The wedding takes place.

After the wedding, Bhadramma, who is furious that Bullemma is not the bride, instigates Parvathamma to query regarding the dowry. A scuffle takes place between the two families and Parvathamma wishes to send back Saroja to her parents place, but Suryam sides with Saroja and accepts her whole-heartedly. Meanwhile, Chalamayya wishes to leave home, but Bhadramma , who is in agony, decides to stay back and plans to create hatred between Parvathamma and Radha. In turn, Parvathamma tortures Saroja in every possible way, but Saroja fights back and keeps calm. Matters get worse when Perayya dies, but not before seeking a promise from Suryam not to disobey Parvathamma. Suryam and Radha's marriage life hits a roadblock. When coming to know that Parvathamma treats Saroja very badly, Simhadri steps in and takes Radha, who is driven away by both Parvathamma and Bhadramma, away to his place.

When Suryam comes back, Parvathamma and Bhadramma lie to him that Saroja had gone to her parents place along with Simhadri, without seeking their consent. That night, Saroja tries to meet Suryam, but Parvathamma would not let Saroja in. Meanwhile, Bullemma unwittingly lets know Suryam regarding this incident and Suryam goes to Simhadri's place to explain, in order to take back Radha. Simhadri spells out to Suryam clearly that Saroja would not go to Suryam's place as long as Parvathamma is there. Taking this opportunity, Parvathamma and Bhadramma force and arrange Bullemma to be married to Suryam. Observing all this, Chalamayya and Thimaiyya attempt to abduct Bullemma, but fail. To make matters worse, Parvathamma sends a letter to Saroja informing that Suryam would remarry and restricts Saroja not to interfere in Suryam's life any more.

On the engagement day, Suryam who is badly disturbed by the events, falls from the first floor of his balcony and is badly injured. Upon hearing this, Saroja rushes to Suryam's place, was stopped by Simhadri , but later consents after hearing to Radha's plea. Suryam is happy to see Saroja around, tells her not to leave him even though Parvathamma mistreats her and Saroja assures this. At this juncture, Parvathamma and Bhadramma further humiliate Simhadri to the worst, which drives him to sell his mansion to compensate with much dowry. Parvathamma tries all her best to drive Saroja away, but to no avail and she becomes violent. Saroja hides in one of the rooms, but Parvathamma tries to force open the door, when the door collapse onto Parvathamma. At the same time, Simhadri parades the dowry items from his home throughout the streets, much to the residents' dismay and reaches Suryam's place. Upon seeing all this, Bhadramma and Bullemma flee.

Parvathamma realises her error on her deathbed and seeks apology from Suryam, Saroja and Simhadri then dies. Suryam and Saroja reunite and live happily."
Bandha Pasam,[[A. Bhimsingh]],[[Viswanathan–Ramamoorthy]],[[Sivaji Ganesan]]<br />[[Gemini Ganesan]]<br />[[Savitri (actress)|Savitri]]<br />[[Devika]],"{{More plot|date=December 2023}}
Parthiban, a student-writer, and Saravanan, a student are the sons of Vedhachalam and Meenakshi. It is a very close knit, loving and caring family. Vedhachalam runs a successful business that runs in lakhs. Due to misfortune, Vedhachalam loses all his money as the bank he used for deposit declares bankruptcy leaving him paraplegic in shock. 

Parthiban, during a case of mistaken identity, meets Manonmani, falls in love with her and with her help starts working in a press. Her boss's daughter, Poonkodi is the lover of Saravanan and they have parted ways due to her hasty nature of misreading Saravanan's situation. How the situation gets resolved with the couples getting united and the family getting back their footing is the rest of the story."
Chanakya Chandragupta,[[N. T. Rama Rao]],[[Pendyala (composer)|Pendyala]],[[Akkineni Nageswara Rao]]<br />N. T. Rama Rao<br /> [[Sivaji Ganesan]]<br />[[Jayaprada]]<br />[[Manjula Vijayakumar|Manjula]],"Set in the 4th century BCE, the film narrates the historical tale of [[Chandragupta Maurya]], the founder of the [[Maurya Empire]], and his mentor, [[Chanakya]]. The story begins with the Greek invader [[Alexander the Great|Alexander]] encroaching upon Indian territories, with Magadha being his ultimate target for conquest. In response to this impending threat, Chanakya, a fearless scholar and strategist, sets out to stop the invasion. He recognizes the potential in Chandragupta, a talented fighter and the son of Mura, a discarded wife of the Nanda ruler [[Mahapadma Nanda]].

Unbeknownst to this, Chandragupta arrives in [[Pataliputra]] determined to confront the tyrannical Nanda princes who oppress the people. In Pataliputra, he begins to rally support against the nine arrogant Nanda princes and faces the cunning Chief Minister Rakshasa, who quickly recognizes Chandragupta’s true potential. Aware of Chandragupta's identity, Rakshasa seeks to apprehend him, fearing his claim to the throne.

As tensions rise, Mura arrives at Pataliputra, where she confesses to Chandragupta his royal heritage, explaining her past with Mahapadma Nanda. Despite his initial outrage, Chandragupta ultimately accepts Mura's revelations. During this period, he develops feelings for Aasa, Rakshasa's daughter, who, unaware of their familial ties, aids him in escaping from captivity.

Simultaneously, Chanakya infiltrates the royal palace, attempting to awaken the Nandas to the dangers they face. However, his efforts result in severe mistreatment at the hands of the Nandas. Vowing to annihilate the Nanda dynasty, Chanakya becomes a target for Rakshasa, who attempts to assassinate him. Chandragupta intervenes, securing Chanakya’s safety and solidifying their alliance. Chanakya recognizes Chandragupta as the rightful heir and the only candidate capable of becoming emperor.

Following their alliance, Chanakya employs various strategies to fortify Chandragupta's position. He arranges for Chandragupta to form a friendship with the tribal king Parvataka, promising to make his daughter, Chhaya, the future empress. Meanwhile, Rakshasa employs deceitful tactics to undermine their rebellion, including plotting Chandragupta's demise and creating a secret passage between the fortress and Chanakya's hideout. Furthermore, he manipulates Aasa, exploiting her affection for Chandragupta and turning her into a dangerous adversary.

As the narrative progresses, Alexander arrives on the Indian subcontinent, escalating the conflict. Aasa's love for Chandragupta intensifies, prompting Chanakya to remind him of his purpose through his mother, Mura. Motivated by this, Chandragupta confronts and defeats Alexander in a climactic duel, compelling the invader to retreat and acknowledge the bond between mentor and disciple.

Following their victory, Chanakya uncovers Rakshasa's plot regarding the secret tunnel. Employing strategic maneuvers, Chandragupta launches a counter-offensive, ultimately conquering Magadha. In a pivotal moment, Chanakya executes the Nanda rulers, allowing Chandragupta to ascend the throne and establish the Maurya Empire in honour of his mother, Mura. However, Mahapadma Nanda, enraged by his family's downfall, attempts to assassinate Chandragupta after Mura's death, ultimately taking his own life in despair.

As Chandragupta prepares to celebrate his victory and union with Aasa, Chanakya reveals her true identity and heritage, leading Aasa to make a self-sacrifice for the greater good. In the film's resolution, Chanakya secures Rakshasa's loyalty and appoints him as Chandragupta's Chief Minister, ensuring that his wisdom will guide the new empire. The film concludes on a hopeful note, with Chanakya crowning Chandragupta, signifying the dawn of a new era under the Maurya Empire."
Kalyanam Panniyum Brahmachari,[[P. Neelakantan]],[[T. G. Lingappa]],[[T. R. Ramachandran]]<br />[[Sivaji Ganesan]]<br />[[Padmini (actress)|Padmini]]<br />[[Ragini (actress)|Ragini]],{{No plot|date=September 2021}}
Gruhapravesam (1976 Tamil film),[[D. Yoganand]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[K. R. Vijaya]]<br />[[Sivakumar]]<br />[[Jaya Guhanathan|Jaya]],"{{More plot|date=March 2023}}
Raju and Lakshmi live with Ravi, Raju's brother in the same house. They sacrifice everything to make Raju successful in his education and career going so far as to having no children. Ravi too loves and looks up to them. Ravi comes back after completing his education but with Uma introducing her as her lover. Though initially taken aback, seeing Uma is a good girl and a rich girl, they accede and all seems to go well until one day when they realise that Uma has bi-polar disorder and she swings between extremes. How they handle Uma without breaking up the family forms the rest of the story."
Harichandra (1968 film),[[K. S. Prakash Rao]],[[K. V. Mahadevan]],[[Sivaji Ganesan]]<br />[[G. Varalakshmi]],"[[Harishchandra|Harichandra]] is the ruler of Ayodhya belonging to Raghuvamsa. He has never lied to anyone and has always kept his word in his life which he values above everything else. Viswamithran challenges Rishi Vashista, who is the former's rival, that he will make Harichandra to lie or renege on his word. Vishwamitran demands Harichandra to give over his kingdom as he had promised him the same in his dream. Taking that the sage as revered as him would not bluff, Harichandra proceeds to hand it over and moves to Kasi. To give the mandatory salutary alms to be given to sages, considering that Harichandra now has nothing to give; Nachandra is sent by Vishwamitran to collect the same. Harichandra sells his wife and son to Kalakandan and pays the due but Nachandra asks for his fee for wasting his time. Harichandra sells himself to Veerabaghu and pays all the due.

Viswamithran tries various methods to make Harichandra suffer by contriving the death of his son as well as having his wife accused of murdering the prince forcing Harichandra to be the executioner. Harichandra however proceeds without saying a word against any one. In the end, Viswamithran accepts defeat and restores Harichandra to the throne."
Nalla Veedu,Jyotish Sinha,Krishnamurthi<br />Nagaraja Iyer,[[Sivaji Ganesan]]<br />[[M. N. Rajam]]<br />[[Pandaribai]]<br />[[Mynavathi]],Not Available
Senthamarai (film),[[A. Bhimsingh]],[[Viswanathan–Ramamoorthy]],[[Sivaji Ganesan]]<br />[[Padmini (actress)|Padmini]],{{No plot|date=July 2021}}
Annai Illam,[[P. Madhavan]],[[K. V. Mahadevan]],[[Sivaji Ganesan]]<br />[[Devika]],"Paramasivam, his pregnant wife Gowri, along with their first son Kumaresan live a lavish and a charitable life. They fall into abject poverty due to their charitable nature. At one instance, desperately in need of money to help his wife's childbirth, Paramasivam goes to borrow money but ends up assaulting the shopkeeper in anger after he insults him. Believing him to be dead and himself to be a murderer, he abandons his family and runs away with his son to be rescued by Rathnam, a friend.

Rathnam takes him to the city and lies to him that his wife and child died in childbirth and the police were looking for him causing him to change his name to Paramanandam. He uses Paramandandam's innate goodness and charitable as well as trustworthy nature to front him to the society for his smuggling business in which he prospers with his assistant Manickam. Adult Kumar falls in love with Public Prosecutor Ramanathan's daughter where Shanmugam, his brother works. They all meet each other without realizing they are related.

As fate would have it, Kumar finds that his father is a smuggler which causes Paramanandam to come clean. Fearing exposure, Rathnam, with Manickam's help, frames Paramanandam for all the crimes including a murder of a constable he committed and sends him to gallows. Kumar struggles to rescue his father but Shanmugan, now the public prosecutor takes up the case in front of judge Ramanathan close the noose on the face of evidence. Rathnam also betrays Manickam so as to leave no loose ends. In the end, Kumar manages to goad Rathnam into a confession, which is secretly witnessed by Ramanthan and cops along with Manickam turning approver and sets his father free."
En Thambi,[[A. C. Tirulokchandar]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[B. Saroja Devi]],"Sundara Boopathy is a rich landlord who is widely respected by everyone in the town. Following the death of his first wife, he marries Alangaram. Kannan is Boopathy's eldest son, born to his first wife. Viswam is Kannan's half-brother. While Kannan is a good and kind hearted person taking care of all the family businesses, Viswam is a spoiled brat who just roams around spending unnecessarily. Viswam also has a hatred towards Kannan. Radha is the cousin of Kannan. Kannan and Radha are in love and the family plans to get them married.

Boopathy keeps worrying about Viswam due to his irresponsible behaviour and requests Kannan to shape him into a good human. Boopathy falls ill and is on his death bed. At that time, he calls Kannan and tells him a secret after which Boopathy passes away. Kannan assumes all responsibilities of running the businesses and this angers Viswam. As Kannan does not know swimming, Viswam decides to murder Kannan by pushing him into a river. Viswam takes Kannan with him in a boat and pushes him in the middle of the river and stages a drama that their boat had an accident in which Kannan was dead. The entire family is shocked hearing about the demise of Kannan. Viswam feels happy as he has got a free hand in spending the wealth.

Kannan's driver Sabapathy watches a stage play where he witnesses Kannan's lookalike Chinnaiya. Sabapathy is shocked and devises a plan to make him act as Kannan, so that the family members could feel relieved. Sabapathy meets Chinnaiya and requests him to act as Kannan. Although Chinnaiya is not interested, he agrees to be a part of the plan. Sabapathy provides all the necessary info for Chinnaiya about Kannan's family members. Chinnaiya goes to Kannan's house and says that he is not dead. Everyone in the house feels happy except Viswam who feels suspicious about the new Kannan. Viswam tells his family members that the new person should be someone else acting in place of Kannan to steal money. But Chinnaiya clears the doubts by performing certain tasks which Kannan does on a regular basis.

Chinnaiya tries hard to make Viswam a good person, but in vain. Finally, the house members overhear Sabapathy's conversation and find out the plan. Sabapathy accepts the truth. To everyone's surprise, Chinnaiya says that he is none other than the real Kannan. He tells a flashback, where Kannan was rescued by a group of stage actors who were travelling in another boat. Kannan asked his friend to bring Sabapathy for the stage show, so that Sabapathy could see Kannan in the name of Chinnaiya. Kannan preferred to hide his true identity as he does not want Viswam to be framed for murder. Viswam tries hard to make everyone believe that he is not Kannan.

To prove his identity, Kannan discloses about the secret told by his father Boopathy before death. Boopathy told Kannan about the location of jewels that belonged to his mother which was secretly hidden in a place. Kannan says this to everyone and promises that he will bring those jewels back so that he could prove his identity. Viswam follows Kannan and tries to kill him. In the fight, Viswam slips down in a well but is saved by Kannan which transforms Viswam. In the end, Kannan's identity is proved and he is also married to Radha. Viswam is transformed in to a good human and Kannan feels happy that he has fulfilled his promise to his father."
Savaale Samali,Malliyam Rajagopal,[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[J. Jayalalithaa|Jayalalithaa]]<br />[[C. R. Vijayakumari]]<br />[[R. Muthuraman]],"This movie is about class struggle between the landlords who owned most of the land in India and their tenant farmers who were taken advantage off and ill treated by the landlords wrapped into a love story. Jayalalitha comes from a rich land lord family and visits her village from college where her parents reside. She is picked up from the station by Sivaji a local tenant farmer. Jayalalitha’s bags fall from the horse cart and she blames and insults Sivaji. Sivaji leaves her and drives away. In the local election, jayalalitha’s father agreees to get his daughter married to Sivaji if he loses the election and Sivaji should give up his lands if he loses. Sivaji wins and jayalalitha is forced into an unhappy marriage with a poor tenant farmer. Jayalalitha is bitterly unhappy, and returns to her mother’s house where her mother lectures her on the virtues of Indian marriage and after a few twists and turns, the couple is reunited. Although it is about class struggle, the portrayal that women do not have the agency to decide their fate is very sad to behold. That is still the fate of women in India and many other parts of the world,  although things have become much better after 50 years since this movie was shot."
Chitra Pournami (film),[[P. Madhavan]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[J. Jayalalithaa|Jayalalithaa]]<br />[[C. R. Vijayakumari]]<br />[[R. Muthuraman]],"{{More plot|date=March 2023}}
Sengodan's parents are murdered by their [[zamindar]] and his sister gets separated from him on [[Chitra Pournami (festival)|Chitra Pournami]] day. He vows vengeance on the same day and attempts to take the zamindar's life every year on that day. Several years later, he plans to kill the zamindar, but is shocked upon realising that his sister is now the landlord's cherished and beloved daughter-in-law leading a peaceful life.

Sengodan falls in love with the zamindar's daughter and marries her. He now has to decide which is greater: revenge or his present relations. Though he keeps tilting towards vengeance and the zamindar continues in different ways to get rid of him manipulating his relationship with his daughter as well as his daughter-in-law, he slowly softens. When the climatic moment arrives where the zamindar's life is in his hands, he hears his child crying upon being birthed and changes his mind letting the zamindar live as he does not want his child to suffer the way he did without a father."
Nermai,[[R. Krishnamoorthy]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[Sujatha (actress)|Sujatha]]<br />[[Prabhu (actor)|Prabhu]]<br />[[Radhika Sarathkumar|Radhika]],"{{more plot|date=October 2023}}
Gowrishankar is an Economics professor at a college where his younger sister Radha and the spoiled Raja are students. Raja's father Jaikumar is a smuggler that wants his son to lead a virtuous life away from crime. Raja, however, happily uses his father's wealth as a shield to act out at college and has several run-ins with Radha. A desperate Jaikumar appeals to Gowrishankar to help put Raja on the right path and the professor agrees. Raja is ungrateful and conspires to have Gowrishankar fired but soon realises the errors of his ways. He becomes a model student and falls in love with Radha. Jaikumar is elated and attempts to move away from his own illegal activities. This worries his partners, Seetharam and Pappa Naidu. They seek to protect themselves and set up several plots to neutralise Gowrishankar. Raja and Gowrishankar work together to protect their loved ones and stop the evil men."
Padayappa,[[K. S. Ravikumar]],[[A. R. Rahman]],[[Sivaji Ganesan]]<br />[[Rajinikanth]]<br />[[Ramya Krishnan]]<br />[[Soundarya]],"Padayappa is a [[mechanical engineer]] who returns to his village to attend his sister's engagement to Suryaprakash, the son of their maternal uncle Rajarathnam. His father, Dharmalingam is the respected village chieftain. During his stay, he comes across Vasundhara, his uncle's maid, and falls in love with her. Suryaprakash's sister, Neelambari, also falls in love with Padayappa, making Vasundhara scared to admit her feelings. Dharmalingam's younger brother Ramalingam demands a share in the family property because he wants wealth and respect like his brother, but Padayappa's father refuses to divide the property and instead gives the entire property and wealth to his brother. The family leaves their home the same evening to go to Padayappa's home in [[Madras]], but unable to bear the shock, Padayappa's father dies just as they leave. Within days, Suryaprakash marries Ramalingam's daughter Meena without the villagers' knowledge, craving their newfound wealth and status. Padayappa's mother, Savitri is insulted by Rajarathnam, but she blesses the couple and leaves.

While Padayappa sets to clean his land for agriculture, Ramalingam's spy finds small rocks, and he discovers that a hill on that property is solid [[granite]], which is very valuable. He tries to get that granite hill by giving the family property back to Padayappa, but after many obstacles, Padayappa's mother cancels the deal. Ramalingam tries to force them to sign over, and reveals the reason for the deal. Padayappa bashes his men and leaves with his family. He starts the granite business, becoming wealthy and taking over the chieftain position of his father while his family settles in a new mansion and regains their respect. Padayappa's sister marries one of the chief engineers who work in Padayappa's company.

Neelambari learns about Padayappa's love for Vasundhara and is furious; she tries to harm herself. Her parents beg Padayappa's mother to allow Neelambari to marry him. However, to everyone's surprise, Padayappa's mother proposes marriage to Vasundhara; she was aware of Padayappa's love for Vasundhara, and wanted to get revenge on her brother for humiliating her. Unable to bear the humiliation, Padayappa's maternal uncle commits suicide the same night. Neelambari vows to get revenge, but fails twice, and Padayappa marries Vasundhara. Suryaprakash brings Neelambari to his home, but she locks herself in her room, and refuses to come out, watching Padayappa's wedding video on repeat.

18 years later, Neelambari is still staying in her room, while Suryaprakash becomes the [[Minister of Home Affairs (India)|home minister]]. Padayappa's uncle is in financial straits, and he and his family are in danger of being evicted from their home. Suryaprakash refuses to help because it would endanger his position. Padayappa comes to their rescue, saving his uncle and his family. He becomes indebted to him and seeks Padayappa's pardon for his misdeeds. Padayappa forgives him.

Neelambari plans her revenge on Padayappa, now a father of two daughters. Suryaprakash also has a son, Chandraprakash alias Chandru, who studies at the same college as Padayappa's elder daughter, Anitha. Neelambari advises Chandru to make Anitha fall in love with him. At the same time, Padayappa plans to get Anitha married to his sister's son. Neelambari, having made Chandru pretend to fall in love with Anitha, plans to humiliate Padayappa by making Anitha say that she does not wish to marry a groom of her parents' choice, and that she is in love with someone else. At the marriage ceremony, after Anitha does what Neelambari told her to do, Padayappa then makes an oath to unite Anitha with her lover by the next ''[[Muhurta]]''. Padayappa discovers that Chandru really did fall in love with Anitha, even though he was only initially pretending to do so on Neelambari's orders. When Padayappa takes Chandru and Anitha to the temple to get married, Neelambari and Suryaprakash give chase to stop them. During the chase, Suryaprakash is killed in a car accident.

Armed with a [[machine gun]], Neelambari reaches the temple where Chandru and Anitha are married, and tries to kill Padayappa. Instead, Padayappa saves her life by preventing a bull from attacking her, while at the same time dodging the bullets she fires at him. Furious at being defeated again, Neelambari commits suicide, promising to take revenge on Padayappa in her next birth, but Padayappa is certain it will never work. He prays for her to find peace."
1995,Error,Error,Error,Error
